Date,Item,Item_Link,Price,Seller,Seller_Link,Seller_Ratings
,Ready Stock 6-in-1 Infant Baby Rocker Chair S$69 Brand new,https://www.carousell.sg/p/ready-stock-6-in-1-infant-baby-rocker-chair-1343017141/?t-id=_WFzZkOkYn_1755939396375&t-referrer_browse_type=search_results&t-referrer_filter_price_max=150&t-referrer_filter_price_min=0&t-referrer_page_type=search&t-referrer_request_id=PDTtb2twz7hYmYou&t-referrer_search_query=baby%20chair&t-referrer_search_query_source=direct_search&t-referrer_sort_by=&t-tap_index=39,S$69,,,
,Buyer Protection Your browser does not support HTML5 video. Ready Stock Foldable Rocking Baby Chair S$105 Brand new,https://www.carousell.sg/p/ready-stock-foldable-rocking-baby-chair-1362712935/?t-id=_WFzZkOkYn_1755939396375&t-referrer_browse_type=search_results&t-referrer_filter_price_max=150&t-referrer_filter_price_min=0&t-referrer_page_type=search&t-referrer_request_id=PDTtb2twz7hYmYou&t-referrer_search_query=baby%20chair&t-referrer_search_query_source=direct_search&t-referrer_sort_by=&t-tap_index=40,S$105,,,
,Buyer Protection Baby Swing Chair - Infant Comfort Rocking Chair 005azd S$90 Brand new,https://www.carousell.sg/p/baby-swing-chair-infant-comfort-rocking-chair-005azd-1386020948/?t-id=_WFzZkOkYn_1755939396375&t-referrer_browse_type=search_results&t-referrer_filter_price_max=150&t-referrer_filter_price_min=0&t-referrer_page_type=search&t-referrer_request_id=PDTtb2twz7hYmYou&t-referrer_search_query=baby%20chair&t-referrer_search_query_source=direct_search&t-referrer_sort_by=&t-tap_index=41,S$90,,,
,Buyer Protection Lucky Baby Block Table and Chair Set S$20 Brand new,https://www.carousell.sg/p/lucky-baby-block-table-and-chair-set-1385663814/?t-id=_WFzZkOkYn_1755939396375&t-referrer_browse_type=search_results&t-referrer_filter_price_max=150&t-referrer_filter_price_min=0&t-referrer_page_type=search&t-referrer_request_id=PDTtb2twz7hYmYou&t-referrer_search_query=baby%20chair&t-referrer_search_query_source=direct_search&t-referrer_sort_by=&t-tap_index=42,S$20,,,
,Buyer Protection Your browser does not support HTML5 video. Ready Stock Manual 6-in-1 Infant Baby Rocking Chair S$69 Brand new,https://www.carousell.sg/p/ready-stock-manual-6-in-1-infant-baby-rocking-chair-1343282688/?t-id=_WFzZkOkYn_1755939396375&t-referrer_browse_type=search_results&t-referrer_filter_price_max=150&t-referrer_filter_price_min=0&t-referrer_page_type=search&t-referrer_request_id=PDTtb2twz7hYmYou&t-referrer_search_query=baby%20chair&t-referrer_search_query_source=direct_search&t-referrer_sort_by=&t-tap_index=44,S$69,,,
,Buyer Protection Baby Trend Tot Spot 3-in-1 High Chair - Primrose - Display Set S$60 Brand new Free delivery,https://www.carousell.sg/p/baby-trend-tot-spot-3-in-1-high-chair-primrose-display-set-1385526779/?t-id=_WFzZkOkYn_1755939396375&t-referrer_browse_type=search_results&t-referrer_filter_price_max=150&t-referrer_filter_price_min=0&t-referrer_page_type=search&t-referrer_request_id=PDTtb2twz7hYmYou&t-referrer_search_query=baby%20chair&t-referrer_search_query_source=direct_search&t-referrer_sort_by=&t-tap_index=45,S$60,,,
,Buyer Protection Stokke Tripp Trapp Baby Set (Serene Pink) for High Chair S$47 Brand new,https://www.carousell.sg/p/stokke-tripp-trapp-baby-set-serene-pink-for-high-chair-1385340590/?t-id=_WFzZkOkYn_1755939396375&t-referrer_browse_type=search_results&t-referrer_filter_price_max=150&t-referrer_filter_price_min=0&t-referrer_page_type=search&t-referrer_request_id=PDTtb2twz7hYmYou&t-referrer_search_query=baby%20chair&t-referrer_search_query_source=direct_search&t-referrer_sort_by=&t-tap_index=46,S$47,,,
,Buyer Protection Baby High Chair Tray S$10 Brand new,https://www.carousell.sg/p/baby-high-chair-tray-1385326869/?t-id=_WFzZkOkYn_1755939396375&t-referrer_browse_type=search_results&t-referrer_filter_price_max=150&t-referrer_filter_price_min=0&t-referrer_page_type=search&t-referrer_request_id=PDTtb2twz7hYmYou&t-referrer_search_query=baby%20chair&t-referrer_search_query_source=direct_search&t-referrer_sort_by=&t-tap_index=47,S$10,,,
,Baby Items (disposable high chair cover) S$10 Brand new,https://www.carousell.sg/p/baby-items-disposable-high-chair-cover-1385269965/?t-id=_WFzZkOkYn_1755939396375&t-referrer_browse_type=search_results&t-referrer_filter_price_max=150&t-referrer_filter_price_min=0&t-referrer_page_type=search&t-referrer_request_id=PDTtb2twz7hYmYou&t-referrer_search_query=baby%20chair&t-referrer_search_query_source=direct_search&t-referrer_sort_by=&t-tap_index=48,S$10,,,
,"Buyer Protection Your browser does not support HTML5 video. [iDS] Electric Baby Rocking Chair, 0-9 Months for Infants Rocker Bed, Baby Portable Swing, Baby Cradle Recliner Newborn Child Automatic Rocking Bed with Intelligent 6-Stage Swing Speed, 2-Gear Adjustable Seat, Timer and Melodies Play S$90 Brand new",https://www.carousell.sg/p/ids-electric-baby-rocking-chair-0-9-months-for-infants-rocker-bed-baby-portable-swing-baby-cradle-recliner-newborn-child-automatic-rocking-bed-with-intelligent-6-stage-swing-speed-2-gear-adjustable-seat-timer-and-melodies-play-1199092959/?t-id=_WFzZkOkYn_1755939396375&t-referrer_browse_type=search_results&t-referrer_filter_price_max=150&t-referrer_filter_price_min=0&t-referrer_page_type=search&t-referrer_request_id=PDTtb2twz7hYmYou&t-referrer_search_query=baby%20chair&t-referrer_search_query_source=direct_search&t-referrer_sort_by=&t-tap_index=49,S$90,,,
